accession	id	ec	length	organism	primary_pfam	primary_pfam_name	all_pfams
B0Y0P7	UBA4_ASPFC	2.7.7.80; 2.8.1.11	493	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	PF00899	ThiF family	PF00581;PF00899
B2RX14	TUT4_MOUSE	2.7.7.52	1644	Mus musculus (Mouse)	PF00098	?	PF22600;PF03828;PF19088;PF00098
B3MK83	FICD_DROAN	2.7.7.108; 3.1.4.-	497	Drosophila ananassae (Fruit fly)	PF02661	Fic/DOC family	PF02661
B3N5J3	FICD_DROER	2.7.7.108; 3.1.4.-	495	Drosophila erecta (Fruit fly)	PF02661	Fic/DOC family	PF02661
B4F6I5	FICD_XENTR	2.7.7.108; 3.1.4.-	446	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	PF02661	Fic/DOC family	PF02661
B4GJC1	FICD_DROPE	2.7.7.108; 3.1.4.-	508	Drosophila persimilis (Fruit fly)	PF02661	Fic/DOC family	PF02661
B4I1V5	FICD_DROSE	2.7.7.108; 3.1.4.-	492	Drosophila sechellia (Fruit fly)	PF02661	Fic/DOC family	PF02661
B4JBN5	FICD_DROGR	2.7.7.108; 3.1.4.-	483	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	PF02661	Fic/DOC family	PF02661
B4KFW6	FICD_DROMO	2.7.7.108; 3.1.4.-	502	Drosophila mojavensis (Fruit fly)	PF02661	Fic/DOC family	PF02661;PF13428
B4MUQ2	FICD_DROWI	2.7.7.108; 3.1.4.-	498	Drosophila willistoni (Fruit fly)	PF02661	Fic/DOC family	PF02661
B4P0E1	FICD_DROYA	2.7.7.108; 3.1.4.-	495	Drosophila yakuba (Fruit fly)	PF02661	Fic/DOC family	PF02661
B4Q4M7	FICD_DROSI	2.7.7.108; 3.1.4.-	492	Drosophila simulans (Fruit fly)	PF02661	Fic/DOC family	PF02661
B5X582	TWIH_ARATH	2.7.7.-; 5.6.2.3	709	Arabidopsis thaliana (Mouse-ear cress)	PF13662	Toprim domain	PF03796;PF13662
B6YWB8	CAS10_THEON	2.7.7.-; 3.1.-.-	777	Thermococcus onnurineus (strain NA1)	PF01966	HD domain	PF22335;PF18211;PF01966
B8GZM2	PLED_CAUVN	2.7.7.65	454	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	PF00990	Diguanylate cyclase, GGDEF domain	PF00990;PF00072
B8XTP8	POLG_COSAA	2.7.7.48; 3.4.22.28; 3.6.4.13	2124	Cosavirus A (isolate Human/Pakistan/0553/-) (HCoSV-A)	PF00680	Viral RNA-dependent RNA polymerase	PF00548;PF00680;PF00073;PF22663;PF00910
B9VUU3	POLG_HE71	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2193	Human enterovirus 71 (EV71) (EV-71)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
C0JJA4	L_MUMPJ	2.7.7.48; 2.7.7.88; 3.6.1.-	2261	Mumps virus genotype A (strain Jeryl-Lynn) (MuV)	PF14318	Mononegavirales mRNA-capping region V	PF14318;PF00946
C0MHL9	POLG_SAFV	2.7.7.48; 3.4.22.28; 3.6.4.13	2295	Saffold virus (SafV) (Human TMEV-like virus-Saffold)	PF00680	Viral RNA-dependent RNA polymerase	PF00548;PF00680;PF00073;PF22663;PF00910
C1JCT1	POL_SINV3	2.7.7.48; 3.4.22.-; 3.6.4.13	2580	Solenopsis invicta virus 3 (SINV-3)	PF00680	Viral RNA-dependent RNA polymerase	PF00680;PF00910
C1JCT2	POLFS_SINV3	2.7.7.48; 3.4.22.-; 3.6.4.13	3390	Solenopsis invicta virus 3 (SINV-3)	PF00680	Viral RNA-dependent RNA polymerase	PF00680;PF00910
C5H431	POLG_WSLV	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3405	Wesselsbron virus (WSLV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
C5MSH2	POLG_SALVA	2.7.7.48; 3.4.22.28; 3.6.4.13	2374	Salivirus A (isolate Human/Nigeria/NG-J1/2007) (SV-A)	PF00680	Viral RNA-dependent RNA polymerase	PF00680;PF00073;PF22663;PF00910
C6KEF6	POLG_HKV1	2.7.7.48; 3.4.22.28; 3.6.4.13	2370	Human klassevirus 1 (HKV-1)	PF00680	Viral RNA-dependent RNA polymerase	PF00680;PF00073;PF22663;PF00910
C7AJA4	TUT7_TRYBB	2.7.7.52	406	Trypanosoma brucei brucei	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600
C8XPA8	POLG_BANV	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3393	Banzi virus (BANV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
C8XPB2	POLG_EHV	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3401	Edge Hill virus (EHV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
D2HS90	STPAP_AILME	2.7.7.19; 2.7.7.52	869	Ailuropoda melanoleuca (Giant panda)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828;PF00076;PF12874
D3Z5S8	TET5A_MOUSE	2.7.7.19	447	Mus musculus (Mouse)	PF07984	Nucleotidyltransferase	PF07984
D4A4P4	FAD1_RAT	2.7.7.2; 3.6.1.18; 3.6.1.22	490	Rattus norvegicus (Rat)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF24102;PF00994;PF01507
D4GSF3	UBAA_HALVD	2.7.7.-	270	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	PF00899	ThiF family	PF00899
D4GSH6	NCSA_HALVD	2.7.7.-	321	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	PF01171	PP-loop domain	PF01171;PF22082
D5TM67	CDAS_BACT1	2.7.7.85	201	Bacillus thuringiensis (strain BMB171)	PF02457	DisA bacterial checkpoint controller nucleotide-binding	PF10372;PF02457
D6WI29	CGLR_TRICA	2.7.7.86	398	Tribolium castaneum (Red flour beetle)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
D7RF80	POLG_KFDV	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3416	Kyasanur forest disease virus (KFDV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
D7Y2H2	CDNC_ECOM1	2.7.7.-; 2.7.7.85	321	Escherichia coli (strain MS 115-1)	NO_PFAM	no Pfam annotation	
E1BGN7	CGAS_BOVIN	2.7.7.86	498	Bos taurus (Bovine)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
E5D8F2	POLG_HRV15	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2153	Human rhinovirus C (strain C15) (HRV-C15)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
E6LHV7	CAS10_ENTI1	2.7.7.-; 3.1.-.-	755	Enterococcus italicus (strain DSM 15952 / CCUG 50447 / LMG 22039 / TP 1.5)	PF22335	?	PF22335;PF20824;PF18211
E6Z0R3	VBHT_BARSR	2.7.7.108	478	Bartonella schoenbuchensis (strain DSM 13525 / NCTC 13165 / R1)	PF02661	Fic/DOC family	PF17841;PF02661
E9Q9A9	OAS2_MOUSE	2.7.7.84	742	Mus musculus (Mouse)	PF01909	Nucleotidyltransferase domain	PF01909;PF10421;PF18144
F1N3B8	OAS2_BOVIN	2.7.7.84	714	Bos taurus (Bovine)	PF01909	Nucleotidyltransferase domain	PF01909;PF10421;PF18144
F4HW04	DPOE1_ARATH	2.7.7.7	2161	Arabidopsis thaliana (Mouse-ear cress)	PF03104	DNA polymerase family B, exonuclease domain	PF03104;PF08490;PF22634;PF22912;PF23250
F4I6M1	POLIA_ARATH	2.7.7.7	1050	Arabidopsis thaliana (Mouse-ear cress)	PF00476	DNA polymerase family A	PF00476;PF01612
F4IFN6	DPOE2_ARATH	2.7.7.7	2138	Arabidopsis thaliana (Mouse-ear cress)	PF03104	DNA polymerase family B, exonuclease domain	PF03104;PF08490;PF22634;PF22912;PF23250
F4IY62	UGPA3_ARATH	2.7.7.9	883	Arabidopsis thaliana (Mouse-ear cress)	PF01704	UTP--glucose-1-phosphate uridylyltransferase	PF25441;PF01704
F4K687	NMNAT_ARATH	2.7.7.1; 2.7.7.18	238	Arabidopsis thaliana (Mouse-ear cress)	PF01467	Cytidylyltransferase-like	PF01467
F4KEV7	FHIT_ARATH	2.7.7.51; 3.6.1.29; 3.6.2.1; 3.9.1.-	180	Arabidopsis thaliana (Mouse-ear cress)	PF01230	?	PF01230
F6NXI9	TRNT1_DANRE	2.7.7.72	431	Danio rerio (Zebrafish) (Brachydanio rerio)	PF01743	Poly A polymerase head domain	PF01743;PF12627
F8RL29	R1AB_AMV79	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.1.13.-; 3.4.22.-; 3.6.4.12; 3.6.4.13	5088	Alphamesonivirus 1 (isolate Aedes harrisoni/Cote d'Ivoire/C79/2004) (CAVV) (Cavally virus (isolate C79))	PF13087	?	PF13087;PF13604;PF17222
G1CRV4	POLG_TMUV	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3425	Tembusu virus (TMUV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
G3FEX6	POLG_JAEVM	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3432	Japanese encephalitis virus (strain M28) (JEV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
G3MZY8	RPB1_BOVIN	2.7.7.48; 2.7.7.6; 3.1.13.-	1970	Bos taurus (Bovine)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998;PF04992;PF04990;PF05001
G5EFL0	GLD4_CAEEL	2.7.7.19	845	Caenorhabditis elegans	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
I0DF35	L_SFTS	2.7.7.48; 3.1.-.-	2084	Dabie bandavirus (Severe fever with thrombocytopenia virus) (Huaiyangshan banyangvirus)	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF12603;PF15518
I3LM39	CGAS_PIG	2.7.7.86	495	Sus scrofa (Pig)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
J3TRD1	L_HTRV	2.7.7.48; 3.1.-.-	2084	Heartland virus (HTRV)	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF12603;PF15518
K9N638	R1A_MERS1	2.7.7.50; 3.4.19.12; 3.4.22.-; 3.4.22.69	4391	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012) (MERS-CoV) (Betacoronavirus England 1)	PF01661	Macro domain	PF16251;PF11501;PF11633;PF09401;PF19212;PF19211;PF19218;PF16348;PF19217;PF19213;PF08716;PF08717;PF08710;PF08715;PF01661;PF05409
K9N7C7	R1AB_MERS1	2.1.1.56; 2.1.1.57; 2.7.7.48; 2.7.7.50; 3.1.13.-; 3.4.19.12; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-	7078	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012) (MERS-CoV) (Betacoronavirus England 1)	PF00680	Viral RNA-dependent RNA polymerase	PF13087;PF13604;PF16251;PF11501;PF11633;PF06471;PF06460;PF09401;PF20631;PF20633;PF20632;PF19215;PF19216;PF19219;PF19212;PF19211;PF19218;PF16348;PF19217;PF19213;PF08716;PF08717;PF08710;PF08715;PF06478;PF01661;PF05409;PF00680
M5AAG8	POL_BPNNR	2.7.7.-; 2.7.7.7; 3.6.4.12	718	Nitratiruptor phage NrS-1	PF19263	?	PF19263;PF22763;PF22761;PF22762
N0A3C0	POLG_FCV	2.7.7.48; 3.4.22.66; 3.6.1.15	1763	Feline calicivirus (FCV)	PF00680	Viral RNA-dependent RNA polymerase	PF03510;PF00680;PF00910;PF20915
O00370	LORF2_HUMAN	2.7.7.49; 3.1.21.-	1275	Homo sapiens (Human)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF03372;PF00078
O00411	RPOM_HUMAN	2.7.7.6	1230	Homo sapiens (Human)	PF00940	DNA-dependent RNA polymerase	PF00940;PF14700
O04928	CDS1_ARATH	2.7.7.41	421	Arabidopsis thaliana (Mouse-ear cress)	PF01148	Cytidylyltransferase family	PF01148
O11436	POLG_RGMVD	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3086	Ryegrass mosaic virus (isolate Denmark/Danish) (RGMV)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
O12158	POL_HV192	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1431	Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
O13339	TERT_SCHPO	2.7.7.49	988	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00078;PF12009;PF11474
O13527	YA11B_YEAST	2.7.7.49; 2.7.7.7; 3.1.26.4	1196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PF00665	Integrase core domain	PF00665;PF07727
O13535	YH11B_YEAST	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	1793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PF00665	Integrase core domain	PF00665;PF07727;PF01021
O13833	CID1_SCHPO	2.7.7.19; 2.7.7.52	405	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
O14215	PRI1_SCHPO	2.7.7.102	454	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	PF01896	DNA primase small subunit	PF01896
O14227	RDP1_SCHPO	2.7.7.48	1215	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	PF05183	RNA dependent RNA polymerase	PF05183;PF26253;PF26252
O14746	TERT_HUMAN	2.7.7.49	1132	Homo sapiens (Human)	PF12009	?	PF12009;PF21399
O14772	FPGT_HUMAN	2.7.7.30	607	Homo sapiens (Human)	PF07959	?	PF07959
O14802	RPC1_HUMAN	2.7.7.6	1390	Homo sapiens (Human)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
O17087	GLD2_CAEEL	2.7.7.19	1113	Caenorhabditis elegans	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
O18475	DPOLQ_DROME	2.7.7.7	2059	Drosophila melanogaster (Fruit fly)	PF00476	DNA polymerase family A	PF00270;PF00476;PF00271;PF20470;PF21099
O22287	GMPP1_ARATH	2.7.7.13	361	Arabidopsis thaliana (Mouse-ear cress)	PF00483	Nucleotidyl transferase	PF25087;PF00483
O23627	SYGM1_ARATH	2.7.7.-; 6.1.1.14	729	Arabidopsis thaliana (Mouse-ear cress)	PF03129	Anticodon binding domain	PF03129;PF00587;PF00458
O28126	CCA_ARCFU	2.7.7.72	437	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	PF01909	Nucleotidyltransferase domain	PF21133;PF01909;PF09249
O29976	DIPPS_ARCFU	2.7.7.74; 2.7.8.34	490	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	PF12804	MobA-like NTP transferase domain	PF01066;PF12804
O31718	RPOY_BACSU	2.7.7.6	69	Bacillus subtilis (strain 168)	PF07288	RNA polymerase epsilon subunit	PF07288
O31854	CDAS_BACSU	2.7.7.85	207	Bacillus subtilis (strain 168)	PF02457	DisA bacterial checkpoint controller nucleotide-binding	PF10372;PF02457
O35052	CDS1_RAT	2.7.7.41	461	Rattus norvegicus (Rat)	PF01148	Cytidylyltransferase family	PF01148
O35134	RPA1_MOUSE	2.7.7.6	1717	Mus musculus (Mouse)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
O36635	L_HRSVB	2.7.7.48; 2.7.7.88; 3.6.1.-	2166	Human respiratory syncytial virus B (strain B1)	PF14318	Mononegavirales mRNA-capping region V	PF14314;PF14318;PF00946
O36966	POLN_DCVEB	2.7.7.48; 3.4.22.-	1759	Drosophila C virus (strain EB) (DCV)	PF00680	Viral RNA-dependent RNA polymerase	PF12381;PF00680;PF00910
O36979	POLG_ZYMVS	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3083	Zucchini yellow mosaic virus (strain Singapore) (ZYMV)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
O39522	REP_BEYDV	2.7.7.-; 3.1.21.-	334	Bean yellow dwarf virus (BeYDV)	PF00799	Geminivirus Rep catalytic domain	PF00799;PF08283
O39828	MREP_FBNY2	2.7.7.-; 3.1.21.-; 3.6.1.-	286	Faba bean necrotic yellows virus (isolate Syrian SV292-88) (FBNYV)	PF00910	RNA helicase	PF00910;PF02407
